circRNA_ID	chr	circRNA_start	circRNA_end	#junction_reads	SM_MS_SMS	#non_junction_reads	junction_reads_ratio	circRNA_type	gene_id	strand	junction_reads_ID
chr1:32948222|32949774	chr1	32948222	32949774	85	27_26_1	10	0.944	exon	uc001bwm.5,uc010ohp.3,uc010oho.3,	-	ST-E00206:209:H5CCCALXX:5:2103:19300:39212,ST-E00206:201:H5L57ALXX:4:1116:20000:7585,ST-E00206:209:H5CCCALXX:5:2223:27542:40091,ST-E00206:201:H5L57ALXX:4:1122:6136:70276,ST-E00206:201:H5L57ALXX:4:1204:11860:59974,ST-E00206:201:H5L57ALXX:4:1215:7181:12771,ST-E00206:201:H5L57ALXX:4:1216:8683:1801,ST-E00206:209:H5CCCALXX:5:2121:27522:14705,ST-E00206:201:H5L57ALXX:4:2106:29805:47492,ST-E00206:209:H5CCCALXX:5:2118:25918:55034,ST-E00206:201:H5L57ALXX:4:2114:16397:41427,ST-E00206:209:H5CCCALXX:5:2213:3659:51254,ST-E00206:209:H5CCCALXX:5:2123:30272:7444,ST-E00206:209:H5CCCALXX:5:2107:17290:24128,ST-E00206:209:H5CCCALXX:5:2118:26324:55140,ST-E00206:201:H5L57ALXX:4:2201:3821:11628,ST-E00206:209:H5CCCALXX:5:2123:29257:12472,ST-E00206:209:H5CCCALXX:5:2218:13789:42218,ST-E00206:201:H5L57ALXX:4:2205:5912:49039,ST-E00206:201:H5L57ALXX:4:2206:31328:30896,ST-E00206:201:H5L57ALXX:4:2208:12946:17412,ST-E00206:209:H5CCCALXX:5:2223:26699:28084,ST-E00206:201:H5L57ALXX:4:2210:32810:48653,ST-E00206:209:H5CCCALXX:5:2111:11545:72263,ST-E00206:209:H5CCCALXX:5:2214:18194:11910,ST-E00206:209:H5CCCALXX:5:2213:2715:17623,ST-E00206:201:H5L57ALXX:4:2220:22711:61890,ST-E00206:201:H5L57ALXX:4:2222:25218:48828,ST-E00206:201:H5L57ALXX:4:2223:19199:70856,ST-E00206:209:H5CCCALXX:5:2203:16062:48828,ST-E00206:209:H5CCCALXX:5:2207:8988:32813,ST-E00206:209:H5CCCALXX:5:2101:8734:64510,ST-E00206:209:H5CCCALXX:5:1114:11221:30949,ST-E00206:209:H5CCCALXX:5:1118:9587:23618,ST-E00206:209:H5CCCALXX:5:1118:8998:34623,ST-E00206:209:H5CCCALXX:5:1118:30678:44363,ST-E00206:209:H5CCCALXX:5:1118:27105:50059,ST-E00206:209:H5CCCALXX:5:1118:1903:73212,ST-E00206:209:H5CCCALXX:5:1120:2674:42587,ST-E00206:209:H5CCCALXX:5:1122:26649:55808,ST-E00206:209:H5CCCALXX:5:1122:28567:68905,ST-E00206:209:H5CCCALXX:5:1202:19331:49532,ST-E00206:209:H5CCCALXX:5:1203:11140:11716,ST-E00206:209:H5CCCALXX:5:1203:11129:11734,ST-E00206:209:H5CCCALXX:5:1203:11038:11787,ST-E00206:209:H5CCCALXX:5:2215:13728:2698,ST-E00206:209:H5CCCALXX:5:2105:6623:46437,ST-E00206:209:H5CCCALXX:5:2103:19331:39405,ST-E00206:209:H5CCCALXX:5:1214:16955:36944,ST-E00206:209:H5CCCALXX:5:1215:20011:61644,ST-E00206:209:H5CCCALXX:5:1217:21797:23284,ST-E00206:201:H5L57ALXX:4:1101:14844:55685,ST-E00206:201:H5L57ALXX:4:1103:27694:44855,ST-E00206:201:H5L57ALXX:4:1117:15281:57284,ST-E00206:201:H5L57ALXX:4:1117:15017:57531,ST-E00206:209:H5CCCALXX:5:1223:28181:61556,ST-E00206:201:H5L57ALXX:4:1214:12144:46191,ST-E00206:201:H5L57ALXX:4:1214:12012:51764,ST-E00206:201:H5L57ALXX:4:1216:9708:26501,ST-E00206:209:H5CCCALXX:5:2214:7191:35467,ST-E00206:201:H5L57ALXX:4:2101:26131:8358,ST-E00206:201:H5L57ALXX:4:2106:29937:25991,ST-E00206:209:H5CCCALXX:5:2206:30556:39722,ST-E00206:209:H5CCCALXX:5:2104:8460:58585,ST-E00206:201:H5L57ALXX:4:2114:23147:35081,ST-E00206:209:H5CCCALXX:5:2103:7506:15443,ST-E00206:201:H5L57ALXX:4:2201:4572:16023,ST-E00206:201:H5L57ALXX:4:2207:22842:42992,ST-E00206:201:H5L57ALXX:4:2223:25786:69608,ST-E00206:209:H5CCCALXX:5:1103:4258:2153,ST-E00206:209:H5CCCALXX:5:2124:21696:20647,ST-E00206:209:H5CCCALXX:5:1223:28110:61644,ST-E00206:209:H5CCCALXX:5:2120:22883:53012,ST-E00206:209:H5CCCALXX:5:1112:3903:68870,ST-E00206:209:H5CCCALXX:5:1115:15910:71876,ST-E00206:209:H5CCCALXX:5:1116:30719:5651,ST-E00206:209:H5CCCALXX:5:1120:19331:49004,ST-E00206:209:H5CCCALXX:5:1123:30079:24198,ST-E00206:209:H5CCCALXX:5:1124:28608:20032,ST-E00206:209:H5CCCALXX:5:1206:27278:25359,ST-E00206:209:H5CCCALXX:5:1206:26649:26800,ST-E00206:209:H5CCCALXX:5:1206:31297:49901,ST-E00206:209:H5CCCALXX:5:2206:3537:7128,ST-E00206:209:H5CCCALXX:5:1217:13921:26870,ST-E00206:209:H5CCCALXX:5:1217:12388:28365,
chr1:33280124|33280457	chr1	33280124	33280457	16	4_5_1	16	0.667	exon	uc057eoz.1,uc001bxc.1,	+	ST-E00206:201:H5L57ALXX:4:1106:26131:72105,ST-E00206:209:H5CCCALXX:5:2218:14225:23425,ST-E00206:209:H5CCCALXX:5:2110:26395:55649,ST-E00206:201:H5L57ALXX:4:1207:24730:40882,ST-E00206:201:H5L57ALXX:4:2109:20721:25394,ST-E00206:209:H5CCCALXX:5:2218:11271:7233,ST-E00206:209:H5CCCALXX:5:2105:10531:29086,ST-E00206:201:H5L57ALXX:4:2114:22436:12929,ST-E00206:201:H5L57ALXX:4:2115:23015:46596,ST-E00206:201:H5L57ALXX:4:2208:3689:50217,ST-E00206:209:H5CCCALXX:5:2120:5242:62119,ST-E00206:209:H5CCCALXX:5:2110:26314:55649,ST-E00206:201:H5L57ALXX:4:1220:10855:66039,ST-E00206:201:H5L57ALXX:4:1224:2776:10872,ST-E00206:201:H5L57ALXX:4:2122:25583:33955,ST-E00206:209:H5CCCALXX:5:1214:26050:53364,
chr1:33294937|33295305	chr1	33294937	33295305	32	9_11_4	21	0.753	exon	uc057eoz.1,uc001bxc.1,	+	ST-E00206:201:H5L57ALXX:4:1106:12337:53909,ST-E00206:201:H5L57ALXX:4:1106:12347:53927,ST-E00206:209:H5CCCALXX:5:2109:25065:58128,ST-E00206:201:H5L57ALXX:4:1201:3659:64123,ST-E00206:201:H5L57ALXX:4:1202:24903:43185,ST-E00206:201:H5L57ALXX:4:1213:29135:71120,ST-E00206:209:H5CCCALXX:5:2118:8663:39282,ST-E00206:201:H5L57ALXX:4:1217:24487:37647,ST-E00206:201:H5L57ALXX:4:2101:22315:65987,ST-E00206:201:H5L57ALXX:4:2101:21736:66321,ST-E00206:209:H5CCCALXX:5:2118:6115:55896,ST-E00206:209:H5CCCALXX:5:2204:18123:47193,ST-E00206:209:H5CCCALXX:5:2213:14144:7954,ST-E00206:209:H5CCCALXX:5:2218:2715:39142,ST-E00206:201:H5L57ALXX:4:2204:29765:37436,ST-E00206:201:H5L57ALXX:4:2210:17950:50762,ST-E00206:201:H5L57ALXX:4:2212:24335:47897,ST-E00206:201:H5L57ALXX:4:2216:21919:61715,ST-E00206:201:H5L57ALXX:4:2218:31440:7743,ST-E00206:209:H5CCCALXX:5:1104:27065:12718,ST-E00206:209:H5CCCALXX:5:1109:7912:42165,ST-E00206:209:H5CCCALXX:5:1111:4420:20260,ST-E00206:209:H5CCCALXX:5:1113:28770:21227,ST-E00206:209:H5CCCALXX:5:1123:31825:39985,ST-E00206:209:H5CCCALXX:5:1218:5780:54296,ST-E00206:209:H5CCCALXX:5:2107:28729:43660,ST-E00206:201:H5L57ALXX:4:1123:22244:11294,ST-E00206:209:H5CCCALXX:5:2212:25075:56423,ST-E00206:209:H5CCCALXX:5:1102:11038:37805,ST-E00206:209:H5CCCALXX:5:1102:11170:37964,ST-E00206:209:H5CCCALXX:5:2107:28232:45717,ST-E00206:209:H5CCCALXX:5:2107:29410:43712,
chr1:35104295|35104769	chr1	35104295	35104769	2	2_1_0	13	0.235	exon	uc057erc.1,uc031txc.2,uc001byn.5,uc057erg.1,uc001bym.5,uc057ere.1,	+	ST-E00206:201:H5L57ALXX:4:2122:15859:6003,ST-E00206:209:H5CCCALXX:5:2206:11911:29121,
chr1:35358925|35361789	chr1	35358925	35361789	65	19_18_0	27	0.828	exon	uc001byt.3,	+	ST-E00206:209:H5CCCALXX:5:2222:15149:34412,ST-E00206:209:H5CCCALXX:5:2118:21878:21385,ST-E00206:209:H5CCCALXX:5:2103:11840:54559,ST-E00206:201:H5L57ALXX:4:1115:11434:34237,ST-E00206:201:H5L57ALXX:4:1115:12703:61996,ST-E00206:201:H5L57ALXX:4:1116:13494:35555,ST-E00206:209:H5CCCALXX:5:2222:4715:27310,ST-E00206:201:H5L57ALXX:4:1124:14022:46455,ST-E00206:201:H5L57ALXX:4:1207:17098:44082,ST-E00206:209:H5CCCALXX:5:2111:23421:13052,ST-E00206:201:H5L57ALXX:4:1211:14083:15478,ST-E00206:201:H5L57ALXX:4:1213:4846:50323,ST-E00206:201:H5L57ALXX:4:1215:3943:12402,ST-E00206:209:H5CCCALXX:5:2203:25938:62980,ST-E00206:201:H5L57ALXX:4:1220:2522:50762,ST-E00206:201:H5L57ALXX:4:1220:2573:50780,ST-E00206:201:H5L57ALXX:4:1221:25603:39229,ST-E00206:209:H5CCCALXX:5:2121:7932:33516,ST-E00206:201:H5L57ALXX:4:1224:11180:23284,ST-E00206:209:H5CCCALXX:5:2224:21482:33955,ST-E00206:201:H5L57ALXX:4:2107:18011:15109,ST-E00206:209:H5CCCALXX:5:2118:22213:21051,ST-E00206:201:H5L57ALXX:4:2119:12621:39669,ST-E00206:209:H5CCCALXX:5:2206:25431:42763,ST-E00206:201:H5L57ALXX:4:2122:30556:22177,ST-E00206:201:H5L57ALXX:4:2124:26456:72984,ST-E00206:201:H5L57ALXX:4:2205:2339:41937,ST-E00206:201:H5L57ALXX:4:2209:32800:33832,ST-E00206:201:H5L57ALXX:4:2217:22802:46508,ST-E00206:201:H5L57ALXX:4:2222:29856:15267,ST-E00206:201:H5L57ALXX:4:2223:28070:15689,ST-E00206:209:H5CCCALXX:5:1102:27725:27925,ST-E00206:209:H5CCCALXX:5:1220:8419:61187,ST-E00206:209:H5CCCALXX:5:1105:18336:20454,ST-E00206:209:H5CCCALXX:5:1105:18346:21385,ST-E00206:209:H5CCCALXX:5:1105:18387:21385,ST-E00206:209:H5CCCALXX:5:2203:22974:42869,ST-E00206:209:H5CCCALXX:5:1111:6521:11101,ST-E00206:209:H5CCCALXX:5:1115:18610:51870,ST-E00206:209:H5CCCALXX:5:2118:22020:18748,ST-E00206:209:H5CCCALXX:5:1119:8125:71050,ST-E00206:209:H5CCCALXX:5:1121:16032:69485,ST-E00206:209:H5CCCALXX:5:1121:16052:69520,ST-E00206:209:H5CCCALXX:5:1121:15585:69837,ST-E00206:209:H5CCCALXX:5:1122:17240:27732,ST-E00206:209:H5CCCALXX:5:2218:28496:22194,ST-E00206:209:H5CCCALXX:5:1222:13565:35432,ST-E00206:209:H5CCCALXX:5:1206:28486:11664,ST-E00206:209:H5CCCALXX:5:1207:2877:25394,ST-E00206:209:H5CCCALXX:5:1208:4268:20067,ST-E00206:209:H5CCCALXX:5:1208:4288:20313,ST-E00206:209:H5CCCALXX:5:1209:8409:32092,ST-E00206:209:H5CCCALXX:5:1211:9830:6354,ST-E00206:209:H5CCCALXX:5:1214:10013:66936,ST-E00206:209:H5CCCALXX:5:1214:18894:67481,ST-E00206:209:H5CCCALXX:5:1214:10145:67516,ST-E00206:209:H5CCCALXX:5:1214:16478:67516,ST-E00206:209:H5CCCALXX:5:1215:30932:17131,ST-E00206:209:H5CCCALXX:5:1215:8440:17201,ST-E00206:209:H5CCCALXX:5:1215:26953:41040,ST-E00206:201:H5L57ALXX:4:1221:29003:44275,ST-E00206:209:H5CCCALXX:5:2202:5070:64844,ST-E00206:209:H5CCCALXX:5:1105:21543:5651,ST-E00206:209:H5CCCALXX:5:2216:26212:61486,ST-E00206:209:H5CCCALXX:5:1218:7506:13334,
chr1:35381259|35381758	chr1	35381259	35381758	9	4_3_0	41	0.305	exon	uc001byt.3,uc057erv.1,	+	ST-E00206:201:H5L57ALXX:4:1102:2471:30949,ST-E00206:209:H5CCCALXX:5:2206:25979:44732,ST-E00206:209:H5CCCALXX:5:2111:7465:29015,ST-E00206:209:H5CCCALXX:5:1102:11454:14723,ST-E00206:209:H5CCCALXX:5:2111:7973:17799,ST-E00206:209:H5CCCALXX:5:1206:24274:39177,ST-E00206:209:H5CCCALXX:5:1218:18448:50780,ST-E00206:209:H5CCCALXX:5:1218:18021:56370,ST-E00206:201:H5L57ALXX:4:1215:23939:57935,
chr1:35381259|35389082	chr1	35381259	35389082	13	6_5_0	17	0.605	exon	uc001byt.3,uc057erv.1,	+	ST-E00206:201:H5L57ALXX:4:1113:32465:54700,ST-E00206:201:H5L57ALXX:4:1116:11109:6530,ST-E00206:209:H5CCCALXX:5:2119:24893:44433,ST-E00206:201:H5L57ALXX:4:2103:22579:12789,ST-E00206:209:H5CCCALXX:5:2115:22964:59377,ST-E00206:201:H5L57ALXX:4:2118:21868:13773,ST-E00206:201:H5L57ALXX:4:2120:9881:56827,ST-E00206:209:H5CCCALXX:5:2216:20457:45224,ST-E00206:209:H5CCCALXX:5:1101:7952:58726,ST-E00206:209:H5CCCALXX:5:1122:5039:29174,ST-E00206:209:H5CCCALXX:5:2209:11058:34395,ST-E00206:209:H5CCCALXX:5:2108:8947:9888,ST-E00206:209:H5CCCALXX:5:1109:2959:51026,
chr1:35388910|35390098	chr1	35388910	35390098	7	5_4_0	22	0.389	exon	uc001byt.3,uc057erv.1,	+	ST-E00206:209:H5CCCALXX:5:2217:29338:67604,ST-E00206:201:H5L57ALXX:4:1123:17818:39353,ST-E00206:209:H5CCCALXX:5:2105:27491:50481,ST-E00206:209:H5CCCALXX:5:2124:22558:33569,ST-E00206:209:H5CCCALXX:5:2115:10429:5880,ST-E00206:209:H5CCCALXX:5:1106:7780:28822,ST-E00206:209:H5CCCALXX:5:1205:24132:12947,
chr1:35392212|35399576	chr1	35392212	35399576	4	2_1_0	9	0.471	exon	uc057erv.1,uc001byt.3,	+	ST-E00206:201:H5L57ALXX:4:1218:4065:51782,ST-E00206:201:H5L57ALXX:4:1115:21970:6565,ST-E00206:209:H5CCCALXX:5:2206:25390:64246,ST-E00206:209:H5CCCALXX:5:1111:12804:6794,
chr1:35396552|35399576	chr1	35396552	35399576	6	2_2_0	17	0.414	exon	uc001byt.3,	+	ST-E00206:209:H5CCCALXX:5:2101:20731:52872,ST-E00206:209:H5CCCALXX:5:2101:20944:52538,ST-E00206:209:H5CCCALXX:5:2101:20792:52626,ST-E00206:209:H5CCCALXX:5:1218:23320:17483,ST-E00206:209:H5CCCALXX:5:1218:23188:17571,ST-E00206:209:H5CCCALXX:5:1218:23939:25939,
chr1:35405023|35408159	chr1	35405023	35408159	3	0_2_1	9	0.400	exon	uc001byt.3,uc057erv.1,	+	ST-E00206:209:H5CCCALXX:5:2110:26994:16041,ST-E00206:209:H5CCCALXX:5:1215:24649:59623,ST-E00206:209:H5CCCALXX:5:1215:23563:67622,
chr1:35405023|35415714	chr1	35405023	35415714	9	3_2_0	18	0.500	exon	uc001byt.3,uc057erv.1,	+	ST-E00206:201:H5L57ALXX:4:1124:25035:21966,ST-E00206:201:H5L57ALXX:4:1124:25228:22124,ST-E00206:201:H5L57ALXX:4:1124:23604:23847,ST-E00206:201:H5L57ALXX:4:1210:25136:51641,ST-E00206:209:H5CCCALXX:5:2209:31998:2944,ST-E00206:209:H5CCCALXX:5:2202:5740:62699,ST-E00206:209:H5CCCALXX:5:2208:3182:7040,ST-E00206:209:H5CCCALXX:5:1219:9444:40917,ST-E00206:209:H5CCCALXX:5:1116:10388:2750,
chr1:35413972|35415714	chr1	35413972	35415714	37	13_14_1	12	0.860	exon	uc001byt.3,uc057erv.1,	+	ST-E00206:209:H5CCCALXX:5:2124:20569:3647,ST-E00206:209:H5CCCALXX:5:2204:2136:11066,ST-E00206:209:H5CCCALXX:5:2223:6805:63490,ST-E00206:201:H5L57ALXX:4:1115:31511:65037,ST-E00206:201:H5L57ALXX:4:1115:31287:65424,ST-E00206:201:H5L57ALXX:4:1123:20031:19065,ST-E00206:201:H5L57ALXX:4:1206:17757:25710,ST-E00206:201:H5L57ALXX:4:1218:13038:10960,ST-E00206:201:H5L57ALXX:4:1220:31754:68659,ST-E00206:201:H5L57ALXX:4:1222:27867:70294,ST-E00206:209:H5CCCALXX:5:1223:4989:51905,ST-E00206:209:H5CCCALXX:5:1223:4694:51958,ST-E00206:201:H5L57ALXX:4:2113:3182:8728,ST-E00206:209:H5CCCALXX:5:2212:5486:42288,ST-E00206:201:H5L57ALXX:4:2123:14134:49883,ST-E00206:209:H5CCCALXX:5:1223:5110:51694,ST-E00206:201:H5L57ALXX:4:2219:31165:20032,ST-E00206:201:H5L57ALXX:4:2222:25725:54630,ST-E00206:209:H5CCCALXX:5:1223:3689:63613,ST-E00206:209:H5CCCALXX:5:1108:22325:56089,ST-E00206:209:H5CCCALXX:5:1108:22639:56810,ST-E00206:209:H5CCCALXX:5:1109:5151:52995,ST-E00206:209:H5CCCALXX:5:1109:5161:53083,ST-E00206:209:H5CCCALXX:5:1109:4207:54067,ST-E00206:209:H5CCCALXX:5:1110:23167:36065,ST-E00206:209:H5CCCALXX:5:1112:19899:47563,ST-E00206:209:H5CCCALXX:5:1222:30638:39862,ST-E00206:209:H5CCCALXX:5:1117:7597:46508,ST-E00206:209:H5CCCALXX:5:1118:11809:22194,ST-E00206:209:H5CCCALXX:5:1207:4258:41954,ST-E00206:209:H5CCCALXX:5:1213:20650:10327,ST-E00206:209:H5CCCALXX:5:2223:6613:63121,ST-E00206:209:H5CCCALXX:5:2221:26040:39071,ST-E00206:201:H5L57ALXX:4:2117:18346:23882,ST-E00206:209:H5CCCALXX:5:2123:25796:64598,ST-E00206:209:H5CCCALXX:5:1223:5070:67727,ST-E00206:209:H5CCCALXX:5:1219:4836:7866,
chr1:35441047|35444303	chr1	35441047	35444303	7	1_2_1	51	0.215	exon	uc057esa.1,uc001byx.4,uc057esb.1,	-	ST-E00206:201:H5L57ALXX:4:1206:20599:41814,ST-E00206:201:H5L57ALXX:4:1206:20528:42148,ST-E00206:201:H5L57ALXX:4:2215:26344:5950,ST-E00206:209:H5CCCALXX:5:1224:17696:59042,ST-E00206:209:H5CCCALXX:5:1114:29399:26888,ST-E00206:209:H5CCCALXX:5:1114:29075:27275,ST-E00206:209:H5CCCALXX:5:2219:3811:18608,
chr1:35470863|35479212	chr1	35470863	35479212	13	5_8_2	36	0.419	exon	uc057esk.1,uc001byx.4,uc057esb.1,uc057esl.1,uc057esi.1,	-	ST-E00206:209:H5CCCALXX:5:1224:25431:53100,ST-E00206:201:H5L57ALXX:4:1123:15128:30474,ST-E00206:209:H5CCCALXX:5:2104:1923:19522,ST-E00206:209:H5CCCALXX:5:2115:8531:20348,ST-E00206:209:H5CCCALXX:5:2107:12601:17940,ST-E00206:209:H5CCCALXX:5:1221:16681:55104,ST-E00206:201:H5L57ALXX:4:2120:24954:73230,ST-E00206:201:H5L57ALXX:4:2202:20518:5071,ST-E00206:209:H5CCCALXX:5:1107:17006:13263,ST-E00206:209:H5CCCALXX:5:1113:24497:51307,ST-E00206:209:H5CCCALXX:5:1202:24456:20471,ST-E00206:209:H5CCCALXX:5:1213:25248:27117,ST-E00206:209:H5CCCALXX:5:2108:16722:50920,
chr1:35474805|35479212	chr1	35474805	35479212	2	2_2_0	28	0.125	exon	uc010ohx.2,uc057esl.1,uc010ohw.3,uc057esi.1,uc001byx.4,uc057esb.1,	-	ST-E00206:201:H5L57ALXX:4:2111:2116:47984,ST-E00206:209:H5CCCALXX:5:2203:24700:40583,
chr1:35478966|35479212	chr1	35478966	35479212	2	2_1_1	29	0.121	exon	uc057esl.1,uc057esi.1,uc057esb.1,uc057esm.1,uc001byx.4,uc057esk.1,uc010ohw.3,uc010ohx.2,	-	ST-E00206:201:H5L57ALXX:4:1219:27623:40337,ST-E00206:209:H5CCCALXX:5:2124:26517:14336,
chr1:35825313|35835993	chr1	35825313	35835993	4	1_2_0	22	0.267	exon	uc001bzj.3,	+	ST-E00206:201:H5L57ALXX:4:2114:11992:29613,ST-E00206:201:H5L57ALXX:4:2114:12002:29631,ST-E00206:209:H5CCCALXX:5:1204:6278:11277,ST-E00206:209:H5CCCALXX:5:1204:5740:14529,
chr1:35831427|35835993	chr1	35831427	35835993	8	3_5_0	11	0.593	exon	uc001bzj.3,	+	ST-E00206:209:H5CCCALXX:5:2118:4654:15109,ST-E00206:201:H5L57ALXX:4:2114:26811:23882,ST-E00206:209:H5CCCALXX:5:1101:22903:18485,ST-E00206:209:H5CCCALXX:5:1223:4765:42693,ST-E00206:201:H5L57ALXX:4:1224:8673:17043,ST-E00206:209:H5CCCALXX:5:1121:25857:26132,ST-E00206:209:H5CCCALXX:5:2108:27359:64317,ST-E00206:209:H5CCCALXX:5:2223:30902:51114,
chr1:35841165|35851053	chr1	35841165	35851053	2	2_1_0	11	0.267	exon	uc001bzj.3,	+	ST-E00206:209:H5CCCALXX:5:2106:7374:52204,ST-E00206:201:H5L57ALXX:4:1116:20944:52749,
chr1:35901474|35902337	chr1	35901474	35902337	4	1_2_0	31	0.205	exon	uc001bzk.4,uc284moh.1,uc001bzl.5,	+	ST-E00206:201:H5L57ALXX:4:1215:28557:42236,ST-E00206:209:H5CCCALXX:5:2103:12550:46086,ST-E00206:201:H5L57ALXX:4:1217:22142:56405,ST-E00206:209:H5CCCALXX:5:2216:10845:39476,
chr1:35945692|35973511	chr1	35945692	35973511	4	1_2_0	4	0.667	exon	uc001bzp.4,uc284moi.1,uc001bzn.1,uc057eth.1,	+	ST-E00206:209:H5CCCALXX:5:1107:18772:19838,ST-E00206:209:H5CCCALXX:5:1114:8825:17026,ST-E00206:209:H5CCCALXX:5:1117:15809:53171,ST-E00206:209:H5CCCALXX:5:2111:32789:5159,
chr1:35966955|35973511	chr1	35966955	35973511	3	1_2_0	9	0.400	exon	uc057eth.1,uc001bzn.1,uc001bzp.4,	+	ST-E00206:209:H5CCCALXX:5:2224:3537:22985,ST-E00206:209:H5CCCALXX:5:2104:21685:47105,ST-E00206:209:H5CCCALXX:5:1218:13088:2117,
chr1:36358239|36362656	chr1	36358239	36362656	5	2_2_0	22	0.312	exon	uc057euo.1,	-	ST-E00206:201:H5L57ALXX:4:1101:19899:20946,ST-E00206:201:H5L57ALXX:4:1101:20143:20946,ST-E00206:201:H5L57ALXX:4:1202:13768:42746,ST-E00206:209:H5CCCALXX:5:2224:4197:21913,ST-E00206:209:H5CCCALXX:5:2224:3771:21596,
chr1:36361221|36362656	chr1	36361221	36362656	29	9_7_4	29	0.667	exon	uc057euo.1,	-	ST-E00206:201:H5L57ALXX:4:1110:32272:45154,ST-E00206:209:H5CCCALXX:5:2206:2167:12877,ST-E00206:209:H5CCCALXX:5:2206:2177:12859,ST-E00206:201:H5L57ALXX:4:1209:14306:27046,ST-E00206:201:H5L57ALXX:4:1218:7739:14160,ST-E00206:201:H5L57ALXX:4:1218:7820:14160,ST-E00206:209:H5CCCALXX:5:2206:2055:12683,ST-E00206:201:H5L57ALXX:4:2112:25674:12841,ST-E00206:201:H5L57ALXX:4:2112:21493:69661,ST-E00206:201:H5L57ALXX:4:2208:4400:35063,ST-E00206:209:H5CCCALXX:5:1120:17798:25359,ST-E00206:209:H5CCCALXX:5:1120:19696:52555,ST-E00206:209:H5CCCALXX:5:1121:19615:12085,ST-E00206:209:H5CCCALXX:5:1208:14844:61556,ST-E00206:209:H5CCCALXX:5:1208:13068:68817,ST-E00206:209:H5CCCALXX:5:1209:10865:29174,ST-E00206:209:H5CCCALXX:5:1209:10185:29578,ST-E00206:209:H5CCCALXX:5:1209:10845:30017,ST-E00206:209:H5CCCALXX:5:1209:10145:30105,ST-E00206:209:H5CCCALXX:5:1211:9962:16393,ST-E00206:201:H5L57ALXX:4:1103:4166:47281,ST-E00206:209:H5CCCALXX:5:2119:14875:20366,ST-E00206:201:H5L57ALXX:4:1113:13657:48389,ST-E00206:201:H5L57ALXX:4:1207:20681:15514,ST-E00206:201:H5L57ALXX:4:2108:31115:39669,ST-E00206:201:H5L57ALXX:4:2108:31988:39669,ST-E00206:209:H5CCCALXX:5:1102:10835:8341,ST-E00206:209:H5CCCALXX:5:1209:26628:15865,ST-E00206:209:H5CCCALXX:5:1213:5496:51870,
chr1:36405819|36413357	chr1	36405819	36413357	4	3_0_4	2	0.800	intergenic_region	n/a	+	ST-E00206:201:H5L57ALXX:4:1118:32708:16094,ST-E00206:201:H5L57ALXX:4:1204:11332:6706,ST-E00206:209:H5CCCALXX:5:2108:11667:68466,ST-E00206:209:H5CCCALXX:5:2108:12479:69907,
chr1:36407380|36410593	chr1	36407380	36410593	7	3_2_0	7	0.667	intergenic_region	n/a	+	ST-E00206:201:H5L57ALXX:4:1203:4075:48881,ST-E00206:201:H5L57ALXX:4:1203:4329:49742,ST-E00206:209:H5CCCALXX:5:1103:19990:37981,ST-E00206:209:H5CCCALXX:5:1217:3933:43572,ST-E00206:201:H5L57ALXX:4:1124:17453:72263,ST-E00206:201:H5L57ALXX:4:2209:12134:20682,ST-E00206:209:H5CCCALXX:5:2103:20214:19487,
chr1:37587311|37589082	chr1	37587311	37589082	4	2_2_0	10	0.444	intron	uc001cbk.4,	-	ST-E00206:209:H5CCCALXX:5:2201:9688:49707,ST-E00206:201:H5L57ALXX:4:1213:11454:72421,ST-E00206:209:H5CCCALXX:5:1223:25766:19364,ST-E00206:209:H5CCCALXX:5:2218:15920:17184,
chr1:37866459|37874088	chr1	37866459	37874088	7	2_4_2	26	0.350	exon	uc001ccf.1,uc057exy.1,uc057exz.1,uc001ccg.2,	-	ST-E00206:209:H5CCCALXX:5:2120:2827:65881,ST-E00206:201:H5L57ALXX:4:1208:22376:46367,ST-E00206:209:H5CCCALXX:5:2122:19889:30105,ST-E00206:201:H5L57ALXX:4:2112:22487:46033,ST-E00206:209:H5CCCALXX:5:1117:19594:10187,ST-E00206:209:H5CCCALXX:5:1117:19260:10486,ST-E00206:209:H5CCCALXX:5:1117:28719:20049,
chr1:38998171|39001106	chr1	38998171	39001106	6	2_3_0	11	0.522	exon	uc001ccw.4,uc057ezt.1,	+	ST-E00206:201:H5L57ALXX:4:2207:32272:44978,ST-E00206:209:H5CCCALXX:5:1120:5364:30088,ST-E00206:201:H5L57ALXX:4:1114:5719:67797,ST-E00206:209:H5CCCALXX:5:2215:5039:24075,ST-E00206:209:H5CCCALXX:5:2215:3842:32092,ST-E00206:209:H5CCCALXX:5:2215:4897:24181,
chr1:39231182|39258028	chr1	39231182	39258028	6	1_3_2	35	0.255	exon	uc057ezv.1,uc057fab.1,uc057ezx.1,uc057ezw.1,uc057fae.1,uc057ezy.1,	+	ST-E00206:201:H5L57ALXX:4:1223:28516:29965,ST-E00206:209:H5CCCALXX:5:1224:20122:28470,ST-E00206:201:H5L57ALXX:4:2103:28811:51782,ST-E00206:201:H5L57ALXX:4:2221:5080:17395,ST-E00206:209:H5CCCALXX:5:1202:24548:42429,ST-E00206:209:H5CCCALXX:5:1202:25126:42728,
